car,model,year,body part,shop1,shop2,shop3,source
camry,camry,2018,car boot,508,1400,1413.5,kaggle
camry,camry,2018,car hood,501,1455,2309.83,kaggle
camry,camry,2018,driver door(f/r),1149,1500,2679,kaggle
camry,camry,2018,fender (f/l),275,1000,1025.8,kaggle
camry,camry,2018,fender (f/r),250,1000,1025.8,kaggle
camry,camry,2018,fender (r/l),275,1350,995,kaggle
camry,camry,2018,fender (r/r),250,1350,995,kaggle
camry,camry,2018,front bumper,275,350,1368.5,kaggle
camry,camry,2018,headlight (l),599,750,2750,kaggle
camry,camry,2018,headlight (r),599,750,2750,kaggle
camry,camry,2018,passenger door (f/l),890,2200,2679,kaggle
camry,camry,2018,passenger door (r/l),960,1800,1717.95,kaggle
camry,camry,2018,passenger door (r/r),960,1800,"1717,95",kaggle
camry,camry,2018,rear bumper,225,600,1390.35,kaggle
camry,camry,2018,rear light (l),213,150,1096,kaggle
camry,camry,2018,rear light (r),213,150,1096,kaggle
camry,camry,2018,side bumper(l),,650,890,kaggle
camry,camry,2018,side bumper(r),null ,650,890,kaggle
camry,camry,2019,car boot,890,1705,2794.67,kaggle
camry,camry,2019,car hood,501,1224,1569,kaggle
camry,camry,2019,driver door(f/r),1100,1030,2785.51,kaggle
camry,camry,2019,fender (f/l),275,477,1231.65,kaggle
camry,camry,2019,fender (f/r),250,477,1231.65,kaggle
camry,camry,2019,fender (r/l),275,477,1086.76,kaggle
camry,camry,2019,fender (r/r),250,477,1086.76,kaggle
camry,camry,2019,front bumper,275,530,1299.5,kaggle
camry,camry,2019,headlight (l),599,450,2750,kaggle
camry,camry,2019,headlight (r),599,450,2750,kaggle
camry,camry,2019,passenger door (f/l),1050,1030,2785.51,kaggle
camry,camry,2019,passenger door (r/l),890,1030,2785.51,kaggle
camry,camry,2019,passenger door (r/r),890,1030,2785.51,kaggle
camry,camry,2019,rear bumper,225,640,1390.35,kaggle
camry,camry,2019,rear light (l),239,1200,1096,kaggle
camry,camry,2019,rear light (r),239,1200,1096,kaggle
camry,camry,2019,side bumper(l),215,670,890,kaggle
camry,camry,2019,side bumper(r),215,670,890,kaggle
camry,camry,2020,car boot,1790,1705,2717.45,kaggle
camry,camry,2020,car hood,1630,1224,2797.67,kaggle
camry,camry,2020,driver door(f/r),1110,3495,3285.38,kaggle
camry,camry,2020,fender (f/l),275,340,1025.8,kaggle
camry,camry,2020,fender (f/r),250,340,1025.8,kaggle
camry,camry,2020,fender (r/l),275,340,995,kaggle
camry,camry,2020,fender (r/r),250,340,995,kaggle
camry,camry,2020,front bumper,620,1030,1299.5,kaggle
camry,camry,2020,headlight (l),599,450,2750,kaggle
camry,camry,2020,headlight (r),599,450,2750,kaggle
camry,camry,2020,passenger door (f/l),2900,3853,2758.51,kaggle
camry,camry,2020,passenger door (r/l),1600,1637,2758.51,kaggle
